Episode: 0 | Reward: -12.68 | Epsilon: 0.9999 | Reason: collision
Episode: 1 | Reward: -9.08 | Epsilon: 0.9998 | Reason: collision
Episode: 2 | Reward: -10.54 | Epsilon: 0.9997 | Reason: collision
Episode: 3 | Reward: -11.03 | Epsilon: 0.9996 | Reason: collision
Episode: 4 | Reward: -11.17 | Epsilon: 0.9995 | Reason: collision
Episode: 5 | Reward: -13.34 | Epsilon: 0.9994 | Reason: collision
Episode: 6 | Reward: -9.95 | Epsilon: 0.9993 | Reason: collision
Episode: 7 | Reward: -13.52 | Epsilon: 0.9992 | Reason: collision
Episode: 8 | Reward: -9.78 | Epsilon: 0.9991 | Reason: collision
Episode: 9 | Reward: -11.18 | Epsilon: 0.9990 | Reason: collision
Episode: 10 | Reward: -9.51 | Epsilon: 0.9989 | Reason: collision
Episode: 11 | Reward: -13.15 | Epsilon: 0.9988 | Reason: collision
Episode: 12 | Reward: -10.51 | Epsilon: 0.9987 | Reason: collision
Episode: 13 | Reward: -13.96 | Epsilon: 0.9986 | Reason: collision
Episode: 14 | Reward: -13.16 | Epsilon: 0.9985 | Reason: collision
Episode: 15 | Reward: -14.48 | Epsilon: 0.9984 | Reason: collision
Episode: 16 | Reward: -11.27 | Epsilon: 0.9983 | Reason: collision
Episode: 17 | Reward: -14.20 | Epsilon: 0.9982 | Reason: collision
Episode: 18 | Reward: -10.96 | Epsilon: 0.9981 | Reason: collision
Episode: 19 | Reward: -10.62 | Epsilon: 0.9980 | Reason: collision
Episode: 20 | Reward: -12.20 | Epsilon: 0.9979 | Reason: collision
Episode: 21 | Reward: -9.98 | Epsilon: 0.9978 | Reason: collision
Episode: 22 | Reward: -14.86 | Epsilon: 0.9977 | Reason: collision
Episode: 23 | Reward: -10.90 | Epsilon: 0.9976 | Reason: collision
Episode: 24 | Reward: -11.12 | Epsilon: 0.9975 | Reason: collision
Episode: 25 | Reward: -11.51 | Epsilon: 0.9974 | Reason: collision
Episode: 26 | Reward: -17.10 | Epsilon: 0.9973 | Reason: collision
Episode: 27 | Reward: -12.83 | Epsilon: 0.9972 | Reason: collision
Episode: 28 | Reward: -7.74 | Epsilon: 0.9971 | Reason: collision
Episode: 29 | Reward: -12.06 | Epsilon: 0.9970 | Reason: collision
Episode: 30 | Reward: -11.56 | Epsilon: 0.9969 | Reason: collision
Episode: 31 | Reward: -11.75 | Epsilon: 0.9968 | Reason: collision
Episode: 32 | Reward: -11.30 | Epsilon: 0.9967 | Reason: collision
Episode: 33 | Reward: -10.40 | Epsilon: 0.9966 | Reason: collision
Episode: 34 | Reward: -10.26 | Epsilon: 0.9965 | Reason: collision
Episode: 35 | Reward: -10.23 | Epsilon: 0.9964 | Reason: collision
Episode: 36 | Reward: -11.75 | Epsilon: 0.9963 | Reason: collision
Episode: 37 | Reward: -13.98 | Epsilon: 0.9962 | Reason: collision
Episode: 38 | Reward: -8.43 | Epsilon: 0.9961 | Reason: collision
Episode: 39 | Reward: -7.54 | Epsilon: 0.9960 | Reason: collision
Episode: 40 | Reward: -13.60 | Epsilon: 0.9959 | Reason: collision
Episode: 41 | Reward: -12.70 | Epsilon: 0.9958 | Reason: collision
Episode: 42 | Reward: -9.89 | Epsilon: 0.9957 | Reason: collision
Episode: 43 | Reward: -11.58 | Epsilon: 0.9956 | Reason: collision
Episode: 44 | Reward: -15.65 | Epsilon: 0.9955 | Reason: collision
Episode: 45 | Reward: -9.99 | Epsilon: 0.9954 | Reason: collision
Episode: 46 | Reward: 31.26 | Epsilon: 0.9953 | Reason: goal
Episode: 47 | Reward: -14.10 | Epsilon: 0.9952 | Reason: collision
Episode: 48 | Reward: -11.14 | Epsilon: 0.9951 | Reason: collision
Episode: 49 | Reward: -12.84 | Epsilon: 0.9950 | Reason: collision
Episode: 50 | Reward: -9.68 | Epsilon: 0.9949 | Reason: collision
Episode: 51 | Reward: -11.04 | Epsilon: 0.9948 | Reason: collision
Episode: 52 | Reward: -11.81 | Epsilon: 0.9947 | Reason: collision
Episode: 53 | Reward: -12.17 | Epsilon: 0.9946 | Reason: collision
Episode: 54 | Reward: -13.68 | Epsilon: 0.9945 | Reason: collision
Episode: 55 | Reward: -10.61 | Epsilon: 0.9944 | Reason: collision
Episode: 56 | Reward: -15.21 | Epsilon: 0.9943 | Reason: collision
Episode: 57 | Reward: -8.30 | Epsilon: 0.9942 | Reason: collision
Episode: 58 | Reward: -10.25 | Epsilon: 0.9941 | Reason: collision
Episode: 59 | Reward: -13.25 | Epsilon: 0.9940 | Reason: collision
Episode: 60 | Reward: -8.68 | Epsilon: 0.9939 | Reason: collision
Episode: 61 | Reward: -11.10 | Epsilon: 0.9938 | Reason: collision
Episode: 62 | Reward: -14.83 | Epsilon: 0.9937 | Reason: collision
Episode: 63 | Reward: -14.20 | Epsilon: 0.9936 | Reason: collision
Episode: 64 | Reward: -13.78 | Epsilon: 0.9935 | Reason: collision
Episode: 65 | Reward: -12.84 | Epsilon: 0.9934 | Reason: collision
Episode: 66 | Reward: -11.45 | Epsilon: 0.9933 | Reason: collision
Episode: 67 | Reward: -11.77 | Epsilon: 0.9932 | Reason: collision
Episode: 68 | Reward: -11.53 | Epsilon: 0.9931 | Reason: collision
Episode: 69 | Reward: -10.33 | Epsilon: 0.9930 | Reason: collision
Episode: 70 | Reward: -10.72 | Epsilon: 0.9929 | Reason: collision
Episode: 71 | Reward: -18.06 | Epsilon: 0.9928 | Reason: collision
Episode: 72 | Reward: -8.85 | Epsilon: 0.9927 | Reason: collision
Episode: 73 | Reward: -9.79 | Epsilon: 0.9926 | Reason: collision
Episode: 74 | Reward: -8.02 | Epsilon: 0.9925 | Reason: collision
Episode: 75 | Reward: -7.47 | Epsilon: 0.9924 | Reason: collision
Episode: 76 | Reward: -9.61 | Epsilon: 0.9923 | Reason: collision
Episode: 77 | Reward: -8.56 | Epsilon: 0.9922 | Reason: collision
Episode: 78 | Reward: -15.08 | Epsilon: 0.9921 | Reason: collision
Episode: 79 | Reward: -15.17 | Epsilon: 0.9920 | Reason: collision
Episode: 80 | Reward: -13.92 | Epsilon: 0.9919 | Reason: collision
Episode: 81 | Reward: -12.68 | Epsilon: 0.9918 | Reason: collision
Episode: 82 | Reward: -8.97 | Epsilon: 0.9917 | Reason: collision
Episode: 83 | Reward: -8.70 | Epsilon: 0.9916 | Reason: collision
